epoch,seconds,anchors_per_s,peak_mem_mb,train_pinball_mgdl,n_train_anchors,val_pinball_mgdl,n_val_anchors
0,241.75882959199953,3089.243943066787,897.060864,3.5625257341597325,746852,3.423082323065454,168481
1,158.44097277699984,4713.75545674772,744.36608,3.394202698090662,746852,3.3298312668424472,168481
2,158.60610449199885,4708.847760886002,744.36608,3.3391914243266534,746852,3.2977840899826796,168481
3,159.1313589599995,4693.304983260619,744.36608,3.304082985846748,746852,3.3247931080679716,168481
4,158.2259493599995,4720.161282146863,744.36608,3.280374236201825,746852,3.3155719505094874,168481
5,230.41364075900128,3241.3532355975485,897.060864,3.2630909936912778,746852,3.2863162296502293,168481
6,154.65398361400003,4829.18048761074,744.36608,3.2429025972481926,746852,3.3210958817565244,168481
7,154.59737949999908,4830.948638427629,744.36608,3.2248289649804165,746852,3.3058770332110234,168481
8,153.42040396499942,4868.009604318231,744.36608,3.2133145940524837,746852,3.2998746259354244,168481
9,154.22426335699856,4842.636195779297,744.36608,3.196662731965681,746852,3.31852921601917,168481
