scope,horizon_step,horizon_minutes,event,rule,n,tp,tn,fp,fn,prevalence,precision,ppv,recall,sensitivity,specificity,f1,npv
overall,0,0,hypoglycemia,median_q50_lt_70,1861356,1825,1852810,660,6061,0.004236696257996858,0.7344064386317908,0.7344064386317908,0.23142277453715446,0.23142277453715446,0.9996439111504367,0.3519429177514223,0.9967394187116804
horizon,1,5,hypoglycemia,median_q50_lt_70,155113,511,154353,91,158,0.00431298472726335,0.8488372093023255,0.8488372093023255,0.7638266068759342,0.7638266068759342,0.9994107896713372,0.8040912667191188,0.998977419083431
horizon,2,10,hypoglycemia,median_q50_lt_70,155113,363,154351,110,289,0.004203387208035432,0.7674418604651163,0.7674418604651163,0.5567484662576687,0.5567484662576687,0.9992878461229695,0.6453333333333333,0.9981311433005691
horizon,3,15,hypoglycemia,median_q50_lt_70,155113,251,154341,107,414,0.0042871970756803105,0.7011173184357542,0.7011173184357542,0.3774436090225564,0.3774436090225564,0.9993072101937222,0.4907135874877811,0.9973248037220123
horizon,4,20,hypoglycemia,median_q50_lt_70,155113,176,154366,81,490,0.004293643988576071,0.6848249027237354,0.6848249027237354,0.26426426426426425,0.26426426426426425,0.999475548246324,0.3813651137594799,0.9968357700056827
horizon,5,25,hypoglycemia,median_q50_lt_70,155113,133,154396,68,516,0.004184046469348153,0.6616915422885572,0.6616915422885572,0.2049306625577812,0.2049306625577812,0.9995597679718251,0.3129411764705883,0.9966690766370585
horizon,6,30,hypoglycemia,median_q50_lt_70,155113,97,154399,52,565,0.004267856336993031,0.6510067114093959,0.6510067114093959,0.14652567975830816,0.14652567975830816,0.9996633236430972,0.23921085080147964,0.9963539918948917
horizon,7,35,hypoglycemia,median_q50_lt_70,155113,76,154411,40,586,0.004267856336993031,0.6551724137931034,0.6551724137931034,0.1148036253776435,0.1148036253776435,0.9997410181869978,0.1953727506426735,0.996219281663516
horizon,8,40,hypoglycemia,median_q50_lt_70,155113,63,154434,33,583,0.004164705730660873,0.65625,0.65625,0.09752321981424149,0.09752321981424149,0.9997863621356018,0.169811320754717,0.9962391221607952
horizon,9,45,hypoglycemia,median_q50_lt_70,155113,55,154432,22,604,0.004248515598305751,0.7142857142857143,0.7142857142857143,0.0834597875569044,0.0834597875569044,0.9998575627694977,0.14945652173913043,0.9961041306535257
horizon,10,50,hypoglycemia,median_q50_lt_70,155113,46,154436,18,613,0.004248515598305751,0.71875,0.71875,0.06980273141122914,0.06980273141122914,0.9998834604477709,0.12724757952973723,0.9960464111345446
horizon,11,55,hypoglycemia,median_q50_lt_70,155113,29,154448,22,614,0.004145364991973593,0.5686274509803921,0.5686274509803921,0.04510108864696734,0.04510108864696734,0.9998575775231436,0.08357348703170028,0.9960402935599953
horizon,12,60,hypoglycemia,median_q50_lt_70,155113,25,154443,16,629,0.004216281033826952,0.6097560975609756,0.6097560975609756,0.0382262996941896,0.0382262996941896,0.9998964126402475,0.07194244604316546,0.9959438196450681
overall,0,0,hypoglycemia,risk_q10_lt_70,1861356,4612,1843413,10057,3274,0.004236696257996858,0.31440452655259393,0.31440452655259393,0.5848338828303322,0.5848338828303322,0.99457396127264,0.40895588561294616,0.9982270953334268
horizon,1,5,hypoglycemia,risk_q10_lt_70,155113,637,153951,493,32,0.00431298472726335,0.5637168141592921,0.5637168141592921,0.9521674140508222,0.9521674140508222,0.9968079044831784,0.708171206225681,0.9997921848515745
horizon,2,10,hypoglycemia,risk_q10_lt_70,155113,563,153684,777,89,0.004203387208035432,0.42014925373134326,0.42014925373134326,0.8634969325153374,0.8634969325153374,0.9949696039777031,0.5652610441767068,0.9994212247923888
horizon,3,15,hypoglycemia,risk_q10_lt_70,155113,506,153545,903,159,0.0042871970756803105,0.35911994322214336,0.35911994322214336,0.7609022556390977,0.7609022556390977,0.9941533720087019,0.48794599807135974,0.9989655441628065
horizon,4,20,hypoglycemia,risk_q10_lt_70,155113,449,153496,951,217,0.004293643988576071,0.32071428571428573,0.32071428571428573,0.6741741741741741,0.6741741741741741,0.993842547929063,0.4346563407550823,0.9985882781547429
horizon,5,25,hypoglycemia,risk_q10_lt_70,155113,397,153497,967,252,0.004184046469348153,0.29105571847507333,0.29105571847507333,0.6117103235747303,0.6117103235747303,0.993739641599337,0.39443616492796824,0.9983609649493655
horizon,6,30,hypoglycemia,risk_q10_lt_70,155113,378,153528,923,284,0.004267856336993031,0.2905457340507302,0.2905457340507302,0.5709969788519638,0.5709969788519638,0.9940239946649746,0.38512480896586854,0.9981535900970016
horizon,7,35,hypoglycemia,risk_q10_lt_70,155113,345,153542,909,317,0.004267856336993031,0.2751196172248804,0.2751196172248804,0.5211480362537765,0.5211480362537765,0.9941146382995254,0.36012526096033404,0.9979396720373849
horizon,8,40,hypoglycemia,risk_q10_lt_70,155113,305,153593,874,341,0.004164705730660873,0.2586938083121289,0.2586938083121289,0.47213622291021673,0.47213622291021673,0.9943418335307865,0.3342465753424657,0.9977847648992425
horizon,9,45,hypoglycemia,risk_q10_lt_70,155113,288,153610,844,371,0.004248515598305751,0.254416961130742,0.254416961130742,0.4370257966616085,0.4370257966616085,0.9945355898843669,0.321608040201005,0.9975906118287321
horizon,10,50,hypoglycemia,risk_q10_lt_70,155113,269,153634,820,390,0.004248515598305751,0.24701561065197428,0.24701561065197428,0.40819423368740515,0.40819423368740515,0.9946909759540057,0.3077803203661327,0.9974679270762998
horizon,11,55,hypoglycemia,risk_q10_lt_70,155113,247,153663,807,396,0.004145364991973593,0.23434535104364326,0.23434535104364326,0.38413685847589424,0.38413685847589424,0.9947756845989513,0.291101944608132,0.9974295562089849
horizon,12,60,hypoglycemia,risk_q10_lt_70,155113,228,153670,789,426,0.004216281033826952,0.22418879056047197,0.22418879056047197,0.3486238532110092,0.3486238532110092,0.9948918483222084,0.27289048473967686,0.9972354895649466
overall,0,0,hyperglycemia,median_q50_gt_180,1861356,159683,1636195,20610,44868,0.10989353997838135,0.8856860776624716,0.8856860776624716,0.78065128012085,0.78065128012085,0.9875603948563652,0.829858332207336,0.9733097450839142
horizon,1,5,hyperglycemia,median_q50_gt_180,155113,16472,137415,668,558,0.10979092661479051,0.961026837806301,0.961026837806301,0.9672342924251321,0.9672342924251321,0.9951623299030293,0.9641205736025754,0.9959557304690048
horizon,2,10,hyperglycemia,median_q50_gt_180,155113,15821,136990,1046,1256,0.11009393152089123,0.9379854153079978,0.9379854153079978,0.9264507817532354,0.9264507817532354,0.9924222666550755,0.9321824181004007,0.9909147461771046
horizon,3,15,hyperglycemia,median_q50_gt_180,155113,15135,136672,1371,1935,0.1100488031306209,0.9169392948018902,0.9169392948018902,0.8866432337434095,0.8866432337434095,0.9900683120476953,0.9015368120085776,0.9860396661063294
horizon,4,20,hyperglycemia,median_q50_gt_180,155113,14429,136497,1590,2597,0.10976513896320747,0.9007428678444347,0.9007428678444347,0.8474685774697521,0.8474685774697521,0.988485519998262,0.8732939930397942,0.9813291730771996
horizon,5,25,hyperglycemia,median_q50_gt_180,155113,13831,136321,1715,3246,0.11009393152089123,0.8896822333719284,0.8896822333719284,0.809919775136148,0.809919775136148,0.9875757048885798,0.8479293749808416,0.9767423531350534
horizon,6,30,hyperglycemia,median_q50_gt_180,155113,13266,136216,1833,3798,0.11001012165324635,0.8786012318696602,0.8786012318696602,0.7774261603375527,0.7774261603375527,0.9867221059189129,0.8249230482231136,0.9728741411573129
horizon,7,35,hyperglycemia,median_q50_gt_180,155113,12765,136151,1951,4246,0.10966843526977108,0.8674232128295732,0.8674232128295732,0.7503968020692493,0.7503968020692493,0.9858727607130962,0.8046774041037601,0.9697571885439148
