horizon_step,horizon_minutes,n,mae,rmse,bias,tir_true,tir_predicted,tir_gap,coverage,coverage80,interval_coverage80,p90_abs_error,p95_abs_error,p99_abs_error
1,5,775565,2.562461665515396,3.8595638210606693,-0.05801353598950877,0.8858960886579461,0.8856098457253744,-0.00028624293257173417,0.8353277932861849,0.8353277932861849,0.8353277932861849,5.964360046386719,8.118331909179688,13.904640197753906
2,10,775565,4.710835508649654,7.001811484389487,-0.18219104414747422,0.8857026812710733,0.888210530387524,0.0025078491164506334,0.8095117752864041,0.8095117752864041,0.8095117752864041,10.988244628906248,14.941125488281248,24.693222656249993
3,15,775565,6.589091162516715,9.791960118687111,-0.38766570853293053,0.8856639997936988,0.8912766821607473,0.005612682367048483,0.79502814077479,0.79502814077479,0.79502814077479,15.403302001953122,20.879959106445288,34.341953430175764
4,20,775565,8.167660135622555,12.16840106236645,-0.6594510015736417,0.8859412170482165,0.8950635987957166,0.00912238174750013,0.7892710475588764,0.7892710475588764,0.7892710475588764,19.13833312988281,25.936911010742186,42.81679260253905
5,25,775565,9.462953710043573,14.134085652580346,-0.958074608187767,0.8857220220097606,0.8984804626304694,0.012758440620708855,0.7867889860940089,0.7867889860940089,0.7867889860940089,22.191546630859374,30.18058471679678,49.90607391357421
6,30,775565,10.550902549301618,15.771115591506097,-1.2166994362998638,0.8857220220097606,0.9016936040177161,0.015971582007955565,0.7858761032279693,0.7858761032279693,0.7858761032279693,24.81786193847656,33.72370300292968,55.625937499999964
7,35,775565,11.477214019177879,17.15940925856483,-1.4017617721927988,0.8860637083932359,0.904374230399773,0.018310522006537155,0.7851076312107947,0.7851076312107947,0.7851076312107947,26.89928741455078,36.59121093749999,60.68112182617187
8,40,775565,12.272969031059866,18.33206568317385,-1.6148823627300437,0.8858445133547801,0.9072366597254905,0.021392146370710408,0.7842115103182841,0.7842115103182841,0.7842115103182841,28.77249450683593,38.89833679199218,64.89616760253907
9,45,775565,12.940297400764555,19.318983486444107,-1.7011379106706337,0.8858251726160928,0.9093937967804117,0.02356862416431882,0.7836364456879823,0.7836364456879823,0.7836364456879823,30.189447021484366,41.012416076660145,68.67311279296872
10,50,775565,13.532867144305605,20.21225166447591,-1.8319920295419774,0.8861539651737765,0.9115805896346535,0.025426624460876956,0.7838066441884304,0.7838066441884304,0.7838066441884304,31.567977905273434,42.90769958496092,71.92423522949214
11,55,775565,14.069410427670187,21.003105352213712,-1.94338160821734,0.8859670046997995,0.9136229716400301,0.027655966940230647,0.7849348539451884,0.7849348539451884,0.7849348539451884,32.643850708007804,44.49985198974604,74.89039062499997
12,60,775565,14.524392869100181,21.68752471623996,-1.9898542342704548,0.8859347701353207,0.9150283986513058,0.02909362851598507,0.7856375674508261,0.7856375674508261,0.7856375674508261,33.810523986816406,45.89746704101562,77.45228027343745
