horizon_step,horizon_minutes,model_mae,persistence_mae,model_rmse,persistence_rmse,model_bias,persistence_bias,model_tir_predicted,persistence_tir_predicted,model_tir_gap,persistence_tir_gap
1,5,2.5623930626586673,3.157205653415178,3.859492983706533,4.783437219716618,-0.05857003672055186,0.006424118411576107,0.8856188714034284,0.8856188714034284,-0.000277217254517681,-0.000277217254517681
2,10,4.710800715707632,5.637960251737971,7.001828113181583,8.488222713006499,-0.1834222910727957,0.007260605359800949,0.888210530387524,0.8856188714034284,0.0025078491164506334,-8.380986764489062e-05
3,15,6.589074660570115,7.708456108891698,9.792026082120689,11.600713076516907,-0.3890930551759355,0.005180094511743052,0.8912792609259056,0.8856188714034284,0.005615261132206784,-4.512839027037696e-05
4,20,8.167651812508087,9.44713496144329,12.168508906756403,14.225801921921683,-0.6609192137018437,0.010427651319842983,0.8950700457086125,0.8856188714034284,0.009128828660395993,-0.00032234564478805794
5,25,9.46295676470828,10.897663976595988,14.134244861503673,16.410920837626154,-0.9595568897324315,0.012130173534274206,0.8984804626304694,0.8856188714034284,0.012758440620708855,-0.00010315060633214745
6,30,10.550912654864142,12.139592825695113,15.77131205427808,18.259620763349776,-1.2181449165823064,0.010867346204076575,0.9016974721654536,0.8856188714034284,0.015975450155693016,-0.00010315060633214745
7,35,11.477211549271269,13.23195128429698,17.159615201611032,19.87312201783301,-1.4032409358195057,0.017713123371776746,0.9043793879300897,0.8856188714034284,0.018315679536853757,-0.0004448369898074622
8,40,12.272975314281613,14.175903220415648,18.332302941842205,21.256077802661267,-1.6163042782699664,0.01957727893751312,0.9072482641687029,0.8856188714034284,0.02140375081392276,-0.00022564195135166276
9,45,12.940291072872045,14.994551744810465,19.319233162208477,22.46042876182988,-1.7025629361456194,0.019101435460323307,0.9094079799887824,0.8856188714034284,0.023582807372689585,-0.00020630121266440593
10,50,13.532880438250011,15.74113893356127,20.212527821929097,23.56100952679888,-1.8334645984517324,0.02737244085771152,0.911593483460445,0.8856188714034284,0.02543951828666846,-0.0005350937703481051
11,55,14.0694135698467,16.42244170381965,21.003413351185234,24.542337553173365,-1.944884711580951,0.030420065419544944,0.9136242610226093,0.8856188714034284,0.027657256322809798,-0.00034813329637106705
12,60,14.524414956800616,17.022911837653204,21.687851805086357,25.420698407125514,-1.9913977917321264,0.031215798780818257,0.9150361349467807,0.8856188714034284,0.029101364811459973,-0.00031589873189230566
