subgroup,level,n_participants,mae_mean,mae_median,bias_mean,bias_median,tir_gap_mean,tir_gap_median,coverage_mean,coverage_median
participants_study_group,healthy,78,8.971199906536853,8.724244658801908,-0.6734861114629259,-0.42716350199052366,0.011962577946898466,0.006827358855597376,0.7916202287086163,0.7948496044820468
participants_study_group,insulin_dependent,23,12.635303156758143,12.642601856895462,-0.9333180302307925,-0.5584522889152406,0.01455306889586522,0.012768817204301064,0.7762943460685036,0.7690217391304348
participants_study_group,oral_medication_and_or_non_insulin_injectable_medication_controlled,64,11.305397480399296,11.26056761959255,-1.8930735350625596,-1.4734574444730932,0.021571391706675533,0.016847544959256278,0.7974149970407345,0.7956999253145083
participants_study_group,pre_diabetes_lifestyle_controlled,56,9.423959867297494,9.163460675479989,-0.9760233977952772,-0.36695974262987063,0.015080867492139662,0.008284625821939229,0.7918289895993086,0.7922130444612494
hba1c_quartile,"(3.799,_5.4]",58,8.831562530746233,8.41380079615979,-0.8484721165672188,-0.4213598160507991,0.011081877081613695,0.004447140300917585,0.7884382546925599,0.7952869892099408
hba1c_quartile,"(5.4,_5.8]",60,9.059710674714271,8.78905597465253,-0.6029544035478068,-0.28302776349679565,0.013359614132976445,0.00936058969849729,0.7990517584372584,0.7961867678612164
hba1c_quartile,"(5.8,_6.3]",45,10.219230217072516,10.071691277035104,-1.1346598694548822,-0.8332785310913393,0.02062899495313112,0.014537037037037015,0.7901355779545453,0.7872043010752688
hba1c_quartile,"(6.3,_12.5]",54,12.625279060176533,12.234135268330153,-2.017235056151845,-1.0830754307749935,0.019693273172932187,0.016853726259373203,0.7903362066029079,0.7875587341072416
hba1c_quartile,nan,4,11.052265086398197,11.14120374986451,-1.1083034446298439,-1.5888599107086792,0.014208017577154036,0.01300732485891809,0.7678376460250964,0.7698932852548485
med_insulin,0,204,9.919287232195067,9.691646753783711,-1.1693315959940025,-0.6291921768627666,0.01629764778531182,0.009954867360378428,0.7932996120750982,0.7945002582001892
med_insulin,1,17,12.830480074219569,12.153017105719055,-0.6628589604223109,0.5340845963827162,0.009892892061554366,0.004805948494740697,0.7732358919821115,0.7686567164179104
med_any_diabetes_drug,0,130,9.16778927917904,8.913094848152099,-0.7253635483899702,-0.383578613867208,0.013504694918161142,0.007192150877818382,0.7904597187292492,0.7925767490625871
med_any_diabetes_drug,1,91,11.536704948750014,11.394317575924179,-1.7089558969149414,-1.1075667467551014,0.019091087625154803,0.015587529976019199,0.7936084350792695,0.7950391644908616
participants_clinical_site,UAB,82,10.550924628102958,10.16600301890318,-1.0942141830724386,-0.651719910975129,0.018694058061501897,0.011445855249867243,0.7940283455063606,0.7929796318342848
participants_clinical_site,UCSD,54,9.778626925091475,9.336413288306925,-1.1331661157369395,-0.5473453994922227,0.011829079708205256,0.005980967053872077,0.7939824025226933,0.7915034045948368
participants_clinical_site,UW,85,9.981542154942872,10.185931643069779,-1.1634789958614247,-0.5449886656269753,0.015543720564279957,0.009822560202788266,0.7881500818737521,0.7958015267175572
bmi_quartile,"(18.304,_25.591]",56,10.165286654326618,9.233067167096166,-1.5977434334378466,-0.8915736574828439,0.014809494023754113,0.009147498263926246,0.7913173701707257,0.7955744318757623
bmi_quartile,"(25.591,_28.921]",55,9.610920238649769,8.937743314107259,-0.5194059271794536,-0.41019771196688826,0.012216409394590016,0.008006742520016874,0.7916974037876406,0.7957079152731327
bmi_quartile,"(28.921,_33.325]",55,10.562233553229712,10.240557376170319,-1.0434251463712483,-0.7051548768193154,0.01821062798343786,0.013010752688171978,0.7853239607540461,0.7826219512195122
bmi_quartile,"(33.325,_95.237]",55,10.234059007888451,10.284667799697905,-1.3524164834935961,-0.5891096953189734,0.018001465311423128,0.010848694316436314,0.7986942408665915,0.7958015267175572
